"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"59","Mbombela Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C++;Dart;Fortran;Go;HTML/CSS;JavaScript;Lua;Objective-C;PHP;Prolog;Python;Rust;SQL;Swift;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Managed Hosting;Microsoft Azure","Deno;Django;Express;Fastify;Flask;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Ruby on Rails;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring","Employed, full-time","Employed"
"60","East London Campus","Data Science","I am a developer by profession","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;C++;PowerShell;Python","PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","ASP.NET","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"61","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;Python;Scala;SQL;TypeScript","Elasticsearch;H2;MariaDB;MongoDB;MySQL;Redis;Solr","Amazon Web Services (AWS);Managed Hosting","Angular;FastAPI;Play Framework","Retail and Consumer Services","ChatGPT;WolframAlpha","Debugging and getting help","Employed, full-time","Employed"
"62","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Java;Kotlin;Python;SQL;TypeScript","BigQuery;Elasticsearch;Firebase Realtime Database;InfluxDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;OpenShift","Angular;Next.js;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"63","Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Cassandra;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor;React","Other","Bing AI;ChatGPT","Debugging and getting help","Employed, full-time","Employed"
"64","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;Java;JavaScript;Python;TypeScript","Elasticsearch;H2;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","Express;Gatsby;Next.js;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"65","Pretoria Campus","Computer Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Microsoft Azure;OVH","Angular;Deno;Django;Express;Fastify;Flask;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"66","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Delphi","MariaDB;MySQL;SQLite","Amazon Web Services (AWS)","Laravel","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase","Employed, full-time","Employed"
"67","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Google Cloud;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Node.js","Financial Services","Andi;Bing AI;ChatGPT;Perplexity AI","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"68","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript","H2;MariaDB;MySQL","Google Cloud","Angular;Express;Node.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha","Writing code;Documenting code","Employed, full-time","Employed"
"69","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;SQLite","Digital Ocean;Firebase;Vercel","Angular;ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","Debugging and getting help;Collaborating with teammates","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"70","Mbombela Campus","Computer Science","I am a developer by profession","Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;Solidity;TypeScript","MongoDB","Render","Angular;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code","Employed, full-time","Employed"
"71","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;Solidity;TypeScript","MongoDB","Heroku;Netlify;Vercel;Vultr","Express;NestJS;Next.js;Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"72","Nelson Mandela Bay Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;TypeScript","Microsoft SQL Server","Netlify;VMware;Vultr","Node.js","Oil & Gas","ChatGPT","Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"73","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MySQL","OpenShift","Deno;Express;Node.js;Nuxt.js;Vue.js","Financial Services","ChatGPT","Writing code","Employed, full-time","Employed"
"74","Durban Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Python;R","Microsoft SQL Server;MySQL;SQLite","Google Cloud;Oracle Cloud Infrastructure (OCI)","FastAPI;Flask;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"75","Pretoria Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Some college/university study without earning a degree","Bash/Shell (all shells);Python;SQL","Cosmos DB","Amazon Web Services (AWS);Microsoft Azure","FastAPI","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"76","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, part-time","Employed"
"77","Durban Campus","IT","I am a developer by profession","Developer, mobile","Some college/university study without earning a degree","Bash/Shell (all shells);C++;Dart;Kotlin;Objective-C;Swift","Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Heroku","Express;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"78","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Cockroachdb;Elasticsearch;Microsoft SQL Server;PostgreSQL;SQLite","Microsoft Azure;Netlify;Vercel","ASP.NET CORE;Gatsby;Next.js;Node.js;React;Solid.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Independent contractor, freelancer, or self-employed","Unemployed"
"79","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL","Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Neo4J;SQLite","Google Cloud;Microsoft Azure","Laravel;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"80","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Hetzner;Managed Hosting;Vercel","ASP.NET;Express;Next.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code;Documenting code;Debugging and getting help","Employed, full-time;Student, part-time","Employed"
"81","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL;Redis","Google Cloud","Django;Express;Flask;NestJS;Next.js;Node.js;React","Other","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"82","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI)","Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Collaborating with teammates","Employed, full-time","Employed"
"83","East London Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Ruby","Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Heroku","Ruby on Rails","Retail and Consumer Services","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"84","East London Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite","Firebase;Microsoft Azure","Django;jQuery;Spring Boot","Financial Services","ChatGPT","Writing code;Debugging and getting help;Deployment and monitoring","Employed, full-time","Employed"
"85","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);C#;Haskell;HTML/CSS;JavaScript;PHP;Python;SQL","Microsoft SQL Server;PostgreSQL","Microsoft Azure","ASP.NET;ASP.NET CORE;React","Financial Services","ChatGPT","Documenting code","Employed, full-time","Employed"
"86","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript","MariaDB;MongoDB","Amazon Web Services (AWS)","FastAPI;Fastify;Gatsby;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code","Employed, full-time","Employed"
"87","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;PostgreSQL;Redis","Amazon Web Services (AWS)","Angular;Express;Laravel;Node.js","Wholesale","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help","Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"88","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;Elixir;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL","Heroku;Microsoft Azure","Angular;FastAPI;Next.js;Node.js;Phoenix;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Project planning","Employed, full-time","Employed"
"89","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;C++;PowerShell;Python;SQL","InfluxDB;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS)","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code","Employed, full-time","Employed"
"90","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;SQL","PostgreSQL;Redis;SQLite","Digital Ocean;Google Cloud;OVH","Django;FastAPI;jQuery;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Independent contractor, freelancer, or self-employed","Unemployed"
"91","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;JavaScript;Ruby","PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Netlify;Render","Ruby on Rails","Healthcare","Bing AI;ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"92","Mbombela Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C;C++;Dart;JavaScript;Rust;Solidity;TypeScript","MongoDB","Amazon Web Services (AWS);Cloudflare;Google Cloud;OVH;Vercel","Express;Next.js;Node.js","Financial Services","ChatGPT;You.com","Documenting code;Debugging and getting help","Employed, full-time","Employed"
"93","East London Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;TypeScript","BigQuery;Dynamodb;Microsoft SQL Server;MongoDB;PostgreSQL;Snowflake","Amazon Web Services (AWS);Google Cloud","FastAPI;Flask;Node.js","Financial Services","ChatGPT","Writing code;Debugging and getting help;Deployment and monitoring","Employed, full-time","Employed"
